"scenario","year","category","hwp"
"2: On Farm Measures (Balanced)",2034,"Fuel",0
"2: On Farm Measures (Balanced)",2034,"Timber",13996359.0171502
"2: On Farm Measures (Balanced)",2035,"Fuel",0
"2: On Farm Measures (Balanced)",2035,"Timber",13776312.8766144
"2: On Farm Measures (Balanced)",2036,"Fuel",0
"2: On Farm Measures (Balanced)",2036,"Timber",12482070.9459932
"2: On Farm Measures (Balanced)",2037,"Fuel",0
"2: On Farm Measures (Balanced)",2037,"Timber",12722113.3959932
"2: On Farm Measures (Balanced)",2038,"Fuel",0
"2: On Farm Measures (Balanced)",2038,"Timber",12962157.3765499
"2: On Farm Measures (Balanced)",2039,"Fuel",0
"2: On Farm Measures (Balanced)",2039,"Timber",14414821.1288632
"2: On Farm Measures (Balanced)",2040,"Fuel",0
"2: On Farm Measures (Balanced)",2040,"Timber",14677714.064012
"2: On Farm Measures (Balanced)",2041,"Fuel",0
"2: On Farm Measures (Balanced)",2041,"Timber",14753685.1171616
"2: On Farm Measures (Balanced)",2042,"Fuel",0
"2: On Farm Measures (Balanced)",2042,"Timber",14996909.514569
"2: On Farm Measures (Balanced)",2043,"Fuel",0
"2: On Farm Measures (Balanced)",2043,"Timber",15236913.9607161
"2: On Farm Measures (Balanced)",2044,"Fuel",0
"2: On Farm Measures (Balanced)",2044,"Timber",15636885.8863446
"2: On Farm Measures (Balanced)",2045,"Fuel",0
"2: On Farm Measures (Balanced)",2045,"Timber",15899080.5628957
"2: On Farm Measures (Balanced)",2046,"Fuel",0
"2: On Farm Measures (Balanced)",2046,"Timber",14755989.2391542
"2: On Farm Measures (Balanced)",2047,"Fuel",0
"2: On Farm Measures (Balanced)",2047,"Timber",15002295.9792234
"2: On Farm Measures (Balanced)",2048,"Fuel",0
"2: On Farm Measures (Balanced)",2048,"Timber",15242486.0745622
"2: On Farm Measures (Balanced)",2049,"Fuel",0
"2: On Farm Measures (Balanced)",2049,"Timber",15578834.8089158
"2: On Farm Measures (Balanced)",2050,"Fuel",0
"2: On Farm Measures (Balanced)",2050,"Timber",15830251.7377215
"2: On Farm Measures (Balanced)",2051,"Fuel",0
"2: On Farm Measures (Balanced)",2051,"Timber",17301700.8653337
"2: On Farm Measures (Balanced)",2052,"Fuel",0
"2: On Farm Measures (Balanced)",2052,"Timber",17304214.1760094
"2: On Farm Measures (Balanced)",2053,"Fuel",0
"2: On Farm Measures (Balanced)",2053,"Timber",17304214.1760094
"2: On Farm Measures (Balanced)",2054,"Fuel",0
"2: On Farm Measures (Balanced)",2054,"Timber",17402830.6154745
"2: On Farm Measures (Balanced)",2055,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2055,"Timber",17400100.9494291
"2: On Farm Measures (Balanced)",2056,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2056,"Timber",16638339.4202547
"2: On Farm Measures (Balanced)",2057,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2057,"Timber",16641264.0547325
"2: On Farm Measures (Balanced)",2058,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2058,"Timber",16641264.0547325
"2: On Farm Measures (Balanced)",2059,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2059,"Timber",21240753.8887479
"2: On Farm Measures (Balanced)",2060,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2060,"Timber",21232146.0087763
"2: On Farm Measures (Balanced)",2061,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2061,"Timber",21562467.8886765
"2: On Farm Measures (Balanced)",2062,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2062,"Timber",21596947.7658169
"2: On Farm Measures (Balanced)",2063,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2063,"Timber",21596947.7658169
"2: On Farm Measures (Balanced)",2064,"Fuel",935704.324644546
"2: On Farm Measures (Balanced)",2064,"Timber",21602783.7884775
"2: On Farm Measures (Balanced)",2065,"Fuel",935697.713023636
"2: On Farm Measures (Balanced)",2065,"Timber",21598027.0562639
"2: On Farm Measures (Balanced)",2066,"Fuel",935697.713023636
"2: On Farm Measures (Balanced)",2066,"Timber",18916934.1083619
"2: On Farm Measures (Balanced)",2067,"Fuel",935697.713023636
"2: On Farm Measures (Balanced)",2067,"Timber",18945552.9078772
"2: On Farm Measures (Balanced)",2068,"Fuel",935697.713023636
"2: On Farm Measures (Balanced)",2068,"Timber",18945552.9078772
"2: On Farm Measures (Balanced)",2069,"Fuel",935682.392330455
"2: On Farm Measures (Balanced)",2069,"Timber",18907574.7907243
"2: On Farm Measures (Balanced)",2070,"Fuel",935680.188456818
"2: On Farm Measures (Balanced)",2070,"Timber",19321194.4364471
"2: On Farm Measures (Balanced)",2071,"Fuel",935680.188456818
"2: On Farm Measures (Balanced)",2071,"Timber",19301836.2017962
"2: On Farm Measures (Balanced)",2072,"Fuel",935680.188456818
"2: On Farm Measures (Balanced)",2072,"Timber",19512192.8300656
"2: On Farm Measures (Balanced)",2073,"Fuel",935680.188456818
"2: On Farm Measures (Balanced)",2073,"Timber",19512192.8300656
"2: On Farm Measures (Balanced)",2074,"Fuel",935659.431388636
"2: On Farm Measures (Balanced)",2074,"Timber",19484999.9995854
"2: On Farm Measures (Balanced)",2075,"Fuel",935701.619826818
"2: On Farm Measures (Balanced)",2075,"Timber",19681756.2298206
"2: On Farm Measures (Balanced)",2076,"Fuel",935701.619826818
"2: On Farm Measures (Balanced)",2076,"Timber",14462102.2828558
"2: On Farm Measures (Balanced)",2077,"Fuel",935701.619826818
"2: On Farm Measures (Balanced)",2077,"Timber",14478217.9908611
"2: On Farm Measures (Balanced)",2078,"Fuel",935701.619826818
"2: On Farm Measures (Balanced)",2078,"Timber",14478217.9908611
"2: On Farm Measures (Balanced)",2079,"Fuel",935625.016360909
"2: On Farm Measures (Balanced)",2079,"Timber",17629841.0282147
"2: On Farm Measures (Balanced)",2080,"Fuel",935663.741569091
"2: On Farm Measures (Balanced)",2080,"Timber",19709035.1712886
"2: On Farm Measures (Balanced)",2081,"Fuel",935663.741569091
"2: On Farm Measures (Balanced)",2081,"Timber",19711776.7234778
"2: On Farm Measures (Balanced)",2082,"Fuel",935663.741569091
"2: On Farm Measures (Balanced)",2082,"Timber",19859114.0267985
"2: On Farm Measures (Balanced)",2083,"Fuel",935663.741569091
"2: On Farm Measures (Balanced)",2083,"Timber",19859114.0267985
"2: On Farm Measures (Balanced)",2084,"Fuel",935688.452364546
"2: On Farm Measures (Balanced)",2084,"Timber",19785281.2276034
"2: On Farm Measures (Balanced)",2085,"Fuel",658744.338954546
"2: On Farm Measures (Balanced)",2085,"Timber",20680510.3258955
"2: On Farm Measures (Balanced)",2086,"Fuel",658744.338954546
"2: On Farm Measures (Balanced)",2086,"Timber",20681004.799346
"2: On Farm Measures (Balanced)",2087,"Fuel",658744.338954546
"2: On Farm Measures (Balanced)",2087,"Timber",20802792.2679378
"2: On Farm Measures (Balanced)",2088,"Fuel",658744.338954546
"2: On Farm Measures (Balanced)",2088,"Timber",20802792.2679378
"2: On Farm Measures (Balanced)",2089,"Fuel",658645.001556818
"2: On Farm Measures (Balanced)",2089,"Timber",20677254.2562584
"2: On Farm Measures (Balanced)",2090,"Fuel",658645.001556818
"2: On Farm Measures (Balanced)",2090,"Timber",20687182.8243755
"2: On Farm Measures (Balanced)",2091,"Fuel",658645.001556818
"2: On Farm Measures (Balanced)",2091,"Timber",20931659.3422292
"2: On Farm Measures (Balanced)",2092,"Fuel",658645.001556818
"2: On Farm Measures (Balanced)",2092,"Timber",22005194.8061703
"2: On Farm Measures (Balanced)",2093,"Fuel",935535.592321364
"2: On Farm Measures (Balanced)",2093,"Timber",22018764.9175816
"2: On Farm Measures (Balanced)",2094,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2094,"Timber",21892924.1423343
"2: On Farm Measures (Balanced)",2095,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2095,"Timber",21197904.0789349
"2: On Farm Measures (Balanced)",2096,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2096,"Timber",21197905.1613556
"2: On Farm Measures (Balanced)",2097,"Fuel",276890.590764545
"2: On Farm Measures (Balanced)",2097,"Timber",21265320.1365447
"2: On Farm Measures (Balanced)",2098,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2098,"Timber",21273321.4978572
"2: On Farm Measures (Balanced)",2099,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2099,"Timber",18243849.2087912
"2: On Farm Measures (Balanced)",2100,"Fuel",276872.015258182
"2: On Farm Measures (Balanced)",2100,"Timber",18250139.178315
"3: Balanced Pathway",2015,"Timber",8313734.42168548
"3: Balanced Pathway",2016,"Timber",12456478.918239
"3: Balanced Pathway",2017,"Timber",12456478.918239
"3: Balanced Pathway",2018,"Timber",12459326.3558453
"3: Balanced Pathway",2019,"Timber",12691911.7387349
"3: Balanced Pathway",2020,"Fuel",0
"3: Balanced Pathway",2020,"Timber",13157942.7675564
"3: Balanced Pathway",2021,"Fuel",0
