"scenario","year","lcm","area"
"2: On Farm Measures (Balanced)",2030,"Paludiculture",6101.75
"2: On Farm Measures (Balanced)",2030,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2030,"Semi-natural grassland",2130797.9375
"2: On Farm Measures (Balanced)",2030,"Urban and suburban",1903387.3125
"2: On Farm Measures (Balanced)",2035,"Arable and horticulture",5116811.375
"2: On Farm Measures (Balanced)",2035,"Arable and horticulture (agroforestry)",164891.375
"2: On Farm Measures (Balanced)",2035,"Biomass crops",254965.0625
"2: On Farm Measures (Balanced)",2035,"Bog",1808002.5
"2: On Farm Measures (Balanced)",2035,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2035,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2035,"Coniferous woodland",1776736.6875
"2: On Farm Measures (Balanced)",2035,"Fen, marsh & swamp",273648.5625
"2: On Farm Measures (Balanced)",2035,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2035,"Heather",2053989.1875
"2: On Farm Measures (Balanced)",2035,"Improved grassland",6478227.6875
"2: On Farm Measures (Balanced)",2035,"Improved grassland (agroforestry)",249947.125
"2: On Farm Measures (Balanced)",2035,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2035,"Paludiculture",9098.625
"2: On Farm Measures (Balanced)",2035,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2035,"Semi-natural grassland",2056277
"2: On Farm Measures (Balanced)",2035,"Urban and suburban",1969249.1875
"2: On Farm Measures (Balanced)",2040,"Arable and horticulture",4936996.9375
"2: On Farm Measures (Balanced)",2040,"Arable and horticulture (agroforestry)",219852.625
"2: On Farm Measures (Balanced)",2040,"Biomass crops",404991.4375
"2: On Farm Measures (Balanced)",2040,"Bog",2032798.3125
"2: On Farm Measures (Balanced)",2040,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2040,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2040,"Coniferous woodland",1776736.6875
"2: On Farm Measures (Balanced)",2040,"Fen, marsh & swamp",305904.1875
"2: On Farm Measures (Balanced)",2040,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2040,"Heather",1873159.4375
"2: On Farm Measures (Balanced)",2040,"Improved grassland",6300764.9375
"2: On Farm Measures (Balanced)",2040,"Improved grassland (agroforestry)",333250.75
"2: On Farm Measures (Balanced)",2040,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2040,"Paludiculture",12222.6875
"2: On Farm Measures (Balanced)",2040,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2040,"Semi-natural grassland",1980055.3125
"2: On Farm Measures (Balanced)",2040,"Urban and suburban",2035111.0625
"2: On Farm Measures (Balanced)",2045,"Arable and horticulture",4757155.4375
"2: On Farm Measures (Balanced)",2045,"Arable and horticulture (agroforestry)",274822.25
"2: On Farm Measures (Balanced)",2045,"Biomass crops",554989.5
"2: On Farm Measures (Balanced)",2045,"Bog",2250375.5625
"2: On Farm Measures (Balanced)",2045,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2045,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2045,"Coniferous woodland",1776736.6875
"2: On Farm Measures (Balanced)",2045,"Fen, marsh & swamp",330128.5625
"2: On Farm Measures (Balanced)",2045,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2045,"Heather",1708784
"2: On Farm Measures (Balanced)",2045,"Improved grassland",6123424.375
"2: On Farm Measures (Balanced)",2045,"Improved grassland (agroforestry)",416557.5
"2: On Farm Measures (Balanced)",2045,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2045,"Paludiculture",15268.5
"2: On Farm Measures (Balanced)",2045,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2045,"Semi-natural grassland",1902629.125
"2: On Farm Measures (Balanced)",2045,"Urban and suburban",2100972.875
"2: On Farm Measures (Balanced)",2050,"Arable and horticulture",4576562.5625
"2: On Farm Measures (Balanced)",2050,"Arable and horticulture (agroforestry)",329799.5625
"2: On Farm Measures (Balanced)",2050,"Biomass crops",704980.5
"2: On Farm Measures (Balanced)",2050,"Bog",2442453.6875
"2: On Farm Measures (Balanced)",2050,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2050,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2050,"Coniferous woodland",1776736.6875
"2: On Farm Measures (Balanced)",2050,"Fen, marsh & swamp",378397.8125
"2: On Farm Measures (Balanced)",2050,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2050,"Heather",1544031.6875
"2: On Farm Measures (Balanced)",2050,"Improved grassland",5946825.375
"2: On Farm Measures (Balanced)",2050,"Improved grassland (agroforestry)",499851.6875
"2: On Farm Measures (Balanced)",2050,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2050,"Paludiculture",18335.9375
"2: On Farm Measures (Balanced)",2050,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2050,"Semi-natural grassland",1827034.0625
"2: On Farm Measures (Balanced)",2050,"Urban and suburban",2166834.8125
"3: Balanced Pathway",2015,"Arable and horticulture",5546511.5625
"3: Balanced Pathway",2015,"Bog",1089384.9375
"3: Balanced Pathway",2015,"Broadleaved woodland",1614906.1875
"3: Balanced Pathway",2015,"Coastal",388057.875
"3: Balanced Pathway",2015,"Coniferous woodland",1766968.9375
"3: Balanced Pathway",2015,"Fen, marsh & swamp",166634.625
"3: Balanced Pathway",2015,"Freshwater",312163.0625
"3: Balanced Pathway",2015,"Heather",2694729
"3: Balanced Pathway",2015,"Improved grassland",7004817
"3: Balanced Pathway",2015,"Inland rock",126968.75
"3: Balanced Pathway",2015,"Saltmarsh",71372.875
"3: Balanced Pathway",2015,"Semi-natural grassland",2236996.6875
"3: Balanced Pathway",2015,"Urban and suburban",1705801.625
"3: Balanced Pathway",2020,"Arable and horticulture",5525213.75
"3: Balanced Pathway",2020,"Bog",1089384.9375
"3: Balanced Pathway",2020,"Broadleaved woodland",1614906.1875
"3: Balanced Pathway",2020,"Coastal",388057.875
"3: Balanced Pathway",2020,"Coniferous woodland",1766968.9375
